Training Time (s),Average CPU Utilization (%),Average Memory Utilization (%),Power Consumption (W),Energy Consumption (J)
0.09407258033752441,0.9000000000000001,20.8,70.9,6.669745945930481
0.11561751365661621,1.2,20.7,71.2,8.231966972351074
0.005980014801025391,2.5,20.8,72.5,0.4335510730743408
0.0009963512420654297,1.8000000000000003,20.8,71.8,0.07153801918029785
0.00697636604309082,1.0,20.8,71.0,0.49532198905944824
0.0006926059722900391,1.2,20.8,71.2,0.04931354522705078
0.3269076347351074,3.6000000000000005,20.8,73.60000000000001,24.06040191650391
